date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:18:28	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c3e4500-247b%22	https://sweetalert.js.org/robots.txt		(from )
08:18:28	120449/120449	---M-Z	200	added ('OK')	text/html	etag:W/%225cc67e30-1d681%22	https://sweetalert.js.org/guides/	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/guides/index.html	(from )
08:18:29	16147/16147	---M-Z	200	added ('OK')	text/css	etag:W/%225cc67e30-3f13%22	https://sweetalert.js.org/assets/css/app.css	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/css/app.css	(from https://sweetalert.js.org/guides/)
08:18:29	40808/40808	---M-Z	200	added ('OK')	application/javascript	etag:W/%225cc67e30-9f68%22	https://sweetalert.js.org/assets/sweetalert/sweetalert.min.js	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/sweetalert/sweetalert.min.js	(from https://sweetalert.js.org/guides/)
08:18:30	34504/34504	---M--	200	added ('OK')	image/png	etag:%225cc67e30-86c8%22	https://sweetalert.js.org/assets/images/modal-fb-example@2x.png	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/images/modal-fb-example@2x.png	(from https://sweetalert.js.org/guides/)
08:18:31	12100/12100	---M--	200	added ('OK')	image/png	etag:%225cc67e30-2f44%22	https://sweetalert.js.org/assets/images/pattern.png	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/images/pattern.png	(from https://sweetalert.js.org/assets/css/app.css)
08:18:32	29992/29992	---M--	200	added ('OK')	image/png	etag:%225cc67e30-7528%22	https://sweetalert.js.org/assets/images/pattern@2x.png	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/images/pattern@2x.png	(from https://sweetalert.js.org/assets/css/app.css)
08:18:33	96133/96133	---M--	200	added ('OK')	image/png	etag:%225cc67e30-17785%22	https://sweetalert.js.org/assets/images/modal-examples.png	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/images/modal-examples.png	(from https://sweetalert.js.org/assets/css/app.css)
08:18:36	2742185/2742185	---M-Z	200	added ('OK')	application/javascript	etag:W/%225cc67e30-29d7a9%22	https://sweetalert.js.org/assets/js/index.js	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/js/index.js	(from https://sweetalert.js.org/guides/)
08:18:36	242980/242980	---M--	200	added ('OK')	image/png	etag:%225cc67e30-3b524%22	https://sweetalert.js.org/assets/images/modal-examples@2x.png	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/images/modal-examples@2x.png	(from https://sweetalert.js.org/assets/css/app.css)
08:18:36	4034/4034	---M--	200	added ('OK')	image/png	etag:%225cc67e30-fc2%22	https://sweetalert.js.org/assets/images/mood-sad.png	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/images/mood-sad.png	(from https://sweetalert.js.org/assets/css/app.css)
08:18:37	3384/3384	---M--	200	added ('OK')	image/png	etag:%225cc67e30-d38%22	https://sweetalert.js.org/assets/images/mood-neutral.png	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/images/mood-neutral.png	(from https://sweetalert.js.org/assets/css/app.css)
08:18:37	3663/3663	---M--	200	added ('OK')	image/png	etag:%225cc67e30-e4f%22	https://sweetalert.js.org/assets/images/mood-happy.png	C:/Users/M'Lucky-charm/Music/htttracttempat/sweetAlert/sweetalert.js.org/assets/images/mood-happy.png	(from https://sweetalert.js.org/assets/css/app.css)
